top - 19:45:01 up 10:45,  1 user,  load average: 1.64, 1.64, 1.49
Tasks: 325 total,   3 running, 304 sleeping,  18 stopped,   0 zombie
%Cpu(s): 45.8 us, 13.9 sy,  0.0 ni, 12.5 id, 26.4 wa,  0.0 hi,  1.4 si,  0.0 st
MiB Mem :   3863.2 total,    119.6 free,   2712.2 used,   1031.4 buff/cache
MiB Swap:   9537.0 total,   8284.6 free,   1252.4 used.    480.3 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 2868 balakri+  20   0 1039136  25244  10544 S   0.0   0.6   0:06.94 gnome-sof+
 2903 root      20   0  237616   4072   4028 S   0.0   0.1   0:00.46 boltd
 3381 balakri+  20   0 1083148 235288  64976 S   0.0   5.9  16:34.95 chrome
 3387 balakri+  20   0    8176    304    304 S   0.0   0.0   0:00.00 cat
 3388 balakri+  20   0    8176    332    332 S   0.0   0.0   0:01.54 cat
 3428 balakri+  20   0  281188  14700  11088 S   0.0   0.4   0:00.26 chrome
 3429 balakri+  20   0   16844   2204   2200 S   0.0   0.1   0:00.00 nacl_help+
 3432 balakri+  20   0  281188   6036   2312 S   0.0   0.2   0:00.93 chrome
 3456 balakri+  20   0  415076  69056  23704 S   0.0   1.7   8:08.75 chrome
 3994 balakri+  20   0  407300   9636   8356 S   0.0   0.2   0:00.46 seahorse
 4129 balakri+  20   0  387100   5168   4440 S   0.0   0.1   0:00.14 gvfsd-net+
 4147 balakri+  20   0  491336   5120   5120 S   0.0   0.1   0:00.12 gvfsd-smb+
 4154 balakri+  20   0  314020   4140   4140 S   0.0   0.1   0:00.09 gvfsd-dns+
 4225 balakri+  20   0  624040  67752  37916 S   0.0   1.7   0:36.88 chrome
 4446 balakri+  20   0    8044    364    364 T   0.0   0.0   0:00.00 rev
 4619 balakri+  20   0 1245940  76172  21808 S   0.0   1.9   4:50.62 nautilus
 4901 balakri+  20   0  164480   5092   3668 S   0.0   0.1   0:10.71 gvfsd-met+
 5798 balakri+  20   0  556596  41728  35320 S   0.0   1.1   0:02.15 chrome
 6026 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-me+
 6180 root      20   0    9512   4592   4348 S   0.0   0.1   0:00.03 dhclient
 6381 balakri+  20   0    8076    336    336 T   0.0   0.0   0:00.00 factor
 6420 balakri+  20   0    8076    320    320 T   0.0   0.0   0:00.00 factor
 6450 balakri+  20   0    8044    304    304 T   0.0   0.0   0:00.00 rev
 6567 balakri+  20   0 1934580  46596  16580 S   0.0   1.2   0:59.34 sublime_t+
 6588 balakri+  20   0  162476   8440   4840 S   0.0   0.2   0:01.89 plugin_ho+
 6755 balakri+  20   0    9428   1692   1688 T   0.0   0.0   0:00.00 bash
 6756 balakri+  20   0    8044    356    356 T   0.0   0.0   0:00.00 rev
 6760 balakri+  20   0    8044    336    336 T   0.0   0.0   0:00.00 rev
 6854 balakri+  20   0  626256  47232  36624 S   0.0   1.2   0:19.57 chrome
 6865 balakri+  20   0  561288  49320  35852 S   0.0   1.2   0:07.27 chrome
 6883 balakri+  20   0  529604  34840  29124 S   0.0   0.9   0:00.54 chrome
 6923 balakri+  20   0  855536  15900  14232 S   0.0   0.4   2:43.81 chrome
 7054 balakri+  20   0 1360040 306172  55336 S   0.0   7.7   5:48.94 chrome
 7066 balakri+  20   0  557636  56956  37988 S   0.0   1.4   0:02.36 chrome
 7086 balakri+  20   0  730108 150376  46036 S   0.0   3.8   2:22.57 chrome
 7096 balakri+  20   0  556256  54096  35336 S   0.0   1.4   0:03.70 chrome
 7120 balakri+  20   0  548292  55220  33912 S   0.0   1.4   0:01.72 chrome
 7125 balakri+  20   0  546000  50432  33272 S   0.0   1.3   0:01.94 chrome
